Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 322 <size 0, parent 11, gen gap 5, avg score 0, runs 4<
  Program 323 <size 0, parent 19, gen gap 10, avg score 0, runs 7<
  Program 324 <size 186, parent 104, gen gap 1, avg score 133.779, runs 2<
  Program 325 <size 0, parent 1, gen gap 7, avg score 0, runs 2<
  Program 326 <size 190, parent 217, gen gap 1, avg score 79.8202, runs 5<
  Program 327 <size 0, parent 1, gen gap 6, avg score 0, runs 2<
  Program 328 <size 187, parent 306, gen gap 1, avg score 110.472, runs 12.5<
  Program 329 <size 0, parent 304, gen gap 1, avg score 0, runs 2<
  Program 330 <size 0, parent 46, gen gap 4, avg score 0, runs 2<
  Program 331 <size 0, parent 1, gen gap 5, avg score 0, runs 2<
  Program 332 <size 0, parent 1, gen gap 8, avg score 0, runs 5<
  Program 333 <size 0, parent 1, gen gap 5, avg score 0, runs 11<
  Program 334 <size 0, parent 1, gen gap 7, avg score 0, runs 2<
  Program 335 <size 177, parent 0, gen gap 1, avg score 127.161, runs 6<
  Program 336 <size 0, parent 1, gen gap 5, avg score 0, runs 9<
  Program 337 <size 0, parent 11, gen gap 7, avg score 0, runs 5<
  Program 338 <size 0, parent 6, gen gap 6, avg score 0, runs 4<
  Program 339 <size 0, parent 6, gen gap 6, avg score 0, runs 2<
  Program 340 <size 0, parent 1, gen gap 8, avg score 0, runs 6<
  Program 341 <size 191, parent 257, gen gap 1, avg score 130.293, runs 2<
  Program 342 <size 0, parent 11, gen gap 3, avg score 0, runs 5<
  Program 343 <size 0, parent 211, gen gap 2, avg score 0, runs 18.75<
  Program 344 <size 0, parent 6, gen gap 5, avg score 0, runs 5.5<
  Program 345 <size 0, parent 1, gen gap 8, avg score 0, runs 2<
  Program 346 <size 189, parent 219, gen gap 1, avg score 131.666, runs 2<
  Program 347 <size 0, parent 6, gen gap 5, avg score 0, runs 5.75<
  Program 348 <size 187, parent 84, gen gap 1, avg score 123.228, runs 7<
  Program 349 <size 0, parent 1, gen gap 7, avg score 0, runs 5<
  Program 350 <size 0, parent 46, gen gap 4, avg score 0, runs 8<
  Program 351 <size 0, parent 1, gen gap 5, avg score 0, runs 9<
  Program 352 <size 186, parent 142, gen gap 1, avg score 133.423, runs 4<
  Program 353 <size 0, parent 1, gen gap 7, avg score 0, runs 4<
  Program 354 <size 0, parent 6, gen gap 7, avg score 0, runs 4<
  Program 355 <size 0, parent 1, gen gap 6, avg score 0, runs 2<
